Sr No.,Symbol,Instrument Type,Normal ELM Margin%,Additional ELM% for Trade Date 20-May-2026,Total applicable ELM%
97,CONCOR,OTH,3.5,15,18.5
98,CONCOR,OTM,5.25,15,20.25
99,CROMPTON,OTH,3.5,0,3.5
100,CROMPTON,OTM,5.25,0,5.25
101,CUMMINSIND,OTH,3.5,0,3.5
102,CUMMINSIND,OTM,5.25,0,5.25
103,DABUR,OTH,3.5,0,3.5
104,DABUR,OTM,5.25,0,5.25
105,DALBHARAT,OTH,3.5,0,3.5
106,DALBHARAT,OTM,5.25,0,5.25
107,DELHIVERY,OTH,3.5,0,3.5
108,DELHIVERY,OTM,5.25,0,5.25
109,DIVISLAB,OTH,3.5,0,3.5
110,DIVISLAB,OTM,5.25,0,5.25
111,DIXON,OTH,3.5,0,3.5
112,DIXON,OTM,5.25,0,5.25
113,DLF,OTH,3.5,15,18.5
114,DLF,OTM,5.25,15,20.25
115,DMART,OTH,3.5,0,3.5
116,DMART,OTM,5.25,0,5.25
117,DRREDDY,OTH,3.5,0,3.5
118,DRREDDY,OTM,5.25,0,5.25
119,EICHERMOT,OTH,3.5,0,3.5
120,EICHERMOT,OTM,5.25,0,5.25
121,ETERNAL,OTH,3.5,0,3.5
122,ETERNAL,OTM,5.25,0,5.25
123,EXIDEIND,OTH,3.5,0,3.5
124,EXIDEIND,OTM,5.25,0,5.25
125,FEDERALBNK,OTH,3.5,0,3.5
126,FEDERALBNK,OTM,5.25,0,5.25
127,FORCEMOT,OTH,3.5,0,3.5
128,FORCEMOT,OTM,5.25,0,5.25
129,FORTIS,OTH,3.5,0,3.5
130,FORTIS,OTM,5.25,0,5.25
131,GAIL,OTH,3.5,0,3.5
132,GAIL,OTM,5.25,0,5.25
133,GLENMARK,OTH,3.5,15,18.5
134,GLENMARK,OTM,5.25,15,20.25
135,GMRAIRPORT,OTH,3.5,0,3.5
136,GMRAIRPORT,OTM,5.25,0,5.25
137,GODFRYPHLP,OTH,3.5,0,3.5
138,GODFRYPHLP,OTM,5.25,0,5.25
139,GODREJCP,OTH,3.5,0,3.5
140,GODREJCP,OTM,5.25,0,5.25
141,GODREJPROP,OTH,3.5,0,3.5
142,GODREJPROP,OTM,5.25,0,5.25
143,GRASIM,OTH,3.5,0,3.5
144,GRASIM,OTM,5.25,0,5.25
145,HAL,OTH,3.5,0,3.5
146,HAL,OTM,5.25,0,5.25
147,HAVELLS,OTH,3.5,0,3.5
148,HAVELLS,OTM,5.25,0,5.25
149,HCLTECH,OTH,3.5,0,3.5
150,HCLTECH,OTM,5.25,0,5.25
151,HDFCAMC,OTH,3.5,0,3.5
152,HDFCAMC,OTM,5.25,0,5.25
153,HDFCBANK,OTH,3.5,0,3.5
154,HDFCBANK,OTM,5.25,0,5.25
155,HDFCLIFE,OTH,3.5,0,3.5
156,HDFCLIFE,OTM,5.25,0,5.25
157,HEROMOTOCO,OTH,3.5,0,3.5
158,HEROMOTOCO,OTM,5.25,0,5.25
159,HINDALCO,OTH,3.5,0,3.5
160,HINDALCO,OTM,5.25,0,5.25
161,HINDPETRO,OTH,3.5,0,3.5
162,HINDPETRO,OTM,5.25,0,5.25
163,HINDUNILVR,OTH,3.5,0,3.5
164,HINDUNILVR,OTM,5.25,0,5.25
165,HINDZINC,OTH,3.5,0,3.5
166,HINDZINC,OTM,5.25,0,5.25
167,HYUNDAI,OTH,3.5,0,3.5
168,HYUNDAI,OTM,5.25,0,5.25
169,ICICIBANK,OTH,3.5,0,3.5
170,ICICIBANK,OTM,5.25,0,5.25
171,ICICIGI,OTH,3.5,0,3.5
172,ICICIGI,OTM,5.25,0,5.25
173,ICICIPRULI,OTH,3.5,0,3.5
174,ICICIPRULI,OTM,5.25,0,5.25
175,IDEA,OTH,3.5,15,18.5
176,IDEA,OTM,5.25,15,20.25
177,IDFCFIRSTB,OTH,3.5,0,3.5
178,IDFCFIRSTB,OTM,5.25,0,5.25
179,IEX,OTH,3.5,15,18.5
180,IEX,OTM,5.25,15,20.25
181,INDHOTEL,OTH,3.5,0,3.5
182,INDHOTEL,OTM,5.25,0,5.25
183,INDIANB,OTH,3.5,0,3.5
184,INDIANB,OTM,5.25,0,5.25
185,INDIGO,OTH,3.5,0,3.5
186,INDIGO,OTM,5.25,0,5.25
187,INDUSINDBK,OTH,3.5,0,3.5
188,INDUSINDBK,OTM,5.25,0,5.25
189,INDUSTOWER,OTH,3.5,0,3.5
190,INDUSTOWER,OTM,5.25,0,5.25
191,INFY,OTH,3.5,0,3.5
192,INFY,OTM,5.25,0,5.25
193,INOXWIND,OTH,3.5,15,18.5
194,INOXWIND,OTM,5.25,15,20.25
195,IOC,OTH,3.5,0,3.5
196,IOC,OTM,5.25,0,5.25
197,IREDA,OTH,3.5,0,3.5
198,IREDA,OTM,5.25,0,5.25
199,IRFC,OTH,3.5,0,3.5
200,IRFC,OTM,5.25,0,5.25
201,ITC,OTH,3.5,0,3.5
202,ITC,OTM,5.25,0,5.25
203,JINDALSTEL,OTH,3.5,0,3.5
204,JINDALSTEL,OTM,5.25,0,5.25
205,JIOFIN,OTH,3.5,15,18.5
206,JIOFIN,OTM,5.25,15,20.25
207,JSWENERGY,OTH,3.5,0,3.5
208,JSWENERGY,OTM,5.25,0,5.25
209,JSWSTEEL,OTH,3.5,15,18.5
210,JSWSTEEL,OTM,5.25,15,20.25
211,JUBLFOOD,OTH,3.5,0,3.5
212,JUBLFOOD,OTM,5.25,0,5.25
213,KALYANKJIL,OTH,3.5,0,3.5
214,KALYANKJIL,OTM,5.25,0,5.25
215,KAYNES,OTH,3.5,10.5,14
216,KAYNES,OTM,5.25,15.75,21
217,KEI,OTH,3.5,0,3.5
218,KEI,OTM,5.25,0,5.25
219,KFINTECH,OTH,3.5,0,3.5
220,KFINTECH,OTM,5.25,0,5.25
221,KOTAKBANK,OTH,3.5,0,3.5
222,KOTAKBANK,OTM,5.25,0,5.25
223,KPITTECH,OTH,3.5,0,3.5
224,KPITTECH,OTM,5.25,0,5.25
225,LAURUSLABS,OTH,3.5,0,3.5
226,LAURUSLABS,OTM,5.25,0,5.25
227,LICHSGFIN,OTH,3.5,15,18.5
228,LICHSGFIN,OTM,5.25,15,20.25
229,LICI,OTH,3.5,0,3.5
230,LICI,OTM,5.25,0,5.25
231,LODHA,OTH,3.5,0,3.5
232,LODHA,OTM,5.25,0,5.25
233,LT,OTH,3.5,0,3.5
234,LT,OTM,5.25,0,5.25
235,LTF,OTH,3.5,0,3.5
236,LTF,OTM,5.25,0,5.25
237,LTM,OTH,3.5,0,3.5
238,LTM,OTM,5.25,0,5.25
239,LUPIN,OTH,3.5,0,3.5
240,LUPIN,OTM,5.25,0,5.25
241,M&M,OTH,3.5,0,3.5
242,M&M,OTM,5.25,0,5.25
243,MANAPPURAM,OTH,3.5,15,18.5
244,MANAPPURAM,OTM,5.25,15,20.25
245,MANKIND,OTH,3.5,0,3.5
246,MANKIND,OTM,5.25,0,5.25
247,MARICO,OTH,3.5,0,3.5
248,MARICO,OTM,5.25,0,5.25
249,MARUTI,OTH,3.5,0,3.5
250,MARUTI,OTM,5.25,0,5.25
251,MAXHEALTH,OTH,3.5,0,3.5
252,MAXHEALTH,OTM,5.25,0,5.25
253,MAZDOCK,OTH,3.5,0,3.5
254,MAZDOCK,OTM,5.25,0,5.25
255,MCX,OTH,3.5,0,3.5
256,MCX,OTM,5.25,0,5.25
257,MFSL,OTH,3.5,0,3.5
258,MFSL,OTM,5.25,0,5.25
259,MOTHERSON,OTH,3.5,0,3.5
260,MOTHERSON,OTM,5.25,0,5.25
261,MOTILALOFS,OTH,3.5,0,3.5
262,MOTILALOFS,OTM,5.25,0,5.25
263,MPHASIS,OTH,3.5,0,3.5
264,MPHASIS,OTM,5.25,0,5.25
265,MUTHOOTFIN,OTH,3.5,0,3.5
266,MUTHOOTFIN,OTM,5.25,0,5.25
267,NAM-INDIA,OTH,3.5,0,3.5
268,NAM-INDIA,OTM,5.25,0,5.25
269,NATIONALUM,OTH,3.5,0,3.5
270,NATIONALUM,OTM,5.25,0,5.25
271,NAUKRI,OTH,3.5,0,3.5
272,NAUKRI,OTM,5.25,0,5.25
273,NBCC,OTH,3.5,15,18.5
274,NBCC,OTM,5.25,15,20.25
275,NESTLEIND,OTH,3.5,0,3.5
276,NESTLEIND,OTM,5.25,0,5.25
277,NHPC,OTH,3.5,0,3.5
278,NHPC,OTM,5.25,0,5.25
279,NMDC,OTH,3.5,15,18.5
280,NMDC,OTM,5.25,15,20.25
281,NTPC,OTH,3.5,0,3.5
282,NTPC,OTM,5.25,0,5.25
283,NUVAMA,OTH,3.5,0,3.5
284,NUVAMA,OTM,5.25,0,5.25
285,NYKAA,OTH,3.5,0,3.5
286,NYKAA,OTM,5.25,0,5.25
287,OBEROIRLTY,OTH,3.5,0,3.5
288,OBEROIRLTY,OTM,5.25,0,5.25
289,OFSS,OTH,3.5,0,3.5
290,OFSS,OTM,5.25,0,5.25
291,OIL,OTH,3.5,0,3.5
292,OIL,OTM,5.25,0,5.25
293,ONGC,OTH,3.5,0,3.5
294,ONGC,OTM,5.25,0,5.25
295,PAGEIND,OTH,3.5,0,3.5
296,PAGEIND,OTM,5.25,0,5.25
297,PATANJALI,OTH,3.5,15,18.5
298,PATANJALI,OTM,5.25,15,20.25
299,PAYTM,OTH,3.5,0,3.5
300,PAYTM,OTM,5.25,0,5.25
301,PERSISTENT,OTH,3.5,0,3.5
302,PERSISTENT,OTM,5.25,0,5.25
303,PETRONET,OTH,3.5,0,3.5
304,PETRONET,OTM,5.25,0,5.25
305,PFC,OTH,3.5,0,3.5
306,PFC,OTM,5.25,0,5.25
307,PGEL,OTH,3.5,0,3.5
308,PGEL,OTM,5.25,0,5.25
309,PHOENIXLTD,OTH,3.5,0,3.5
310,PHOENIXLTD,OTM,5.25,0,5.25
311,PIDILITIND,OTH,3.5,0,3.5
312,PIDILITIND,OTM,5.25,0,5.25
313,PIIND,OTH,3.5,0,3.5
314,PIIND,OTM,5.25,0,5.25
315,PNB,OTH,3.5,0,3.5
316,PNB,OTM,5.25,0,5.25
317,PNBHOUSING,OTH,3.5,0,3.5
318,PNBHOUSING,OTM,5.25,0,5.25
319,POLICYBZR,OTH,3.5,0,3.5
320,POLICYBZR,OTM,5.25,0,5.25
321,POLYCAB,OTH,3.5,0,3.5
322,POLYCAB,OTM,5.25,0,5.25
323,POWERGRID,OTH,3.5,0,3.5
324,POWERGRID,OTM,5.25,0,5.25
325,POWERINDIA,OTH,3.5,0,3.5
326,POWERINDIA,OTM,5.25,0,5.25
327,PREMIERENE,OTH,3.5,0,3.5
328,PREMIERENE,OTM,5.25,0,5.25
329,PRESTIGE,OTH,3.5,0,3.5
330,PRESTIGE,OTM,5.25,0,5.25
331,RBLBANK,OTH,3.5,15,18.5
332,RBLBANK,OTM,5.25,15,20.25
333,RECLTD,OTH,3.5,0,3.5
334,RECLTD,OTM,5.25,0,5.25
335,RELIANCE,OTH,3.5,0,3.5
336,RELIANCE,OTM,5.25,0,5.25
337,RVNL,OTH,3.5,0,3.5
338,RVNL,OTM,5.25,0,5.25
339,SAIL,OTH,3.5,15,18.5
340,SAIL,OTM,5.25,15,20.25
341,SAMMAANCAP,OTH,3.5,15,18.5
342,SAMMAANCAP,OTM,5.25,15,20.25
343,SBICARD,OTH,3.5,0,3.5
344,SBICARD,OTM,5.25,0,5.25
345,SBILIFE,OTH,3.5,0,3.5
346,SBILIFE,OTM,5.25,0,5.25
347,SBIN,OTH,3.5,0,3.5
348,SBIN,OTM,5.25,0,5.25
349,SHREECEM,OTH,3.5,0,3.5
350,SHREECEM,OTM,5.25,0,5.25
351,SHRIRAMFIN,OTH,3.5,0,3.5
352,SHRIRAMFIN,OTM,5.25,0,5.25
353,SIEMENS,OTH,3.5,0,3.5
354,SIEMENS,OTM,5.25,0,5.25
355,SOLARINDS,OTH,3.5,0,3.5
356,SOLARINDS,OTM,5.25,0,5.25
357,SONACOMS,OTH,3.5,0,3.5
358,SONACOMS,OTM,5.25,0,5.25
359,SRF,OTH,3.5,0,3.5
360,SRF,OTM,5.25,0,5.25
361,SUNPHARMA,OTH,3.5,0,3.5
362,SUNPHARMA,OTM,5.25,0,5.25
363,SUPREMEIND,OTH,3.5,0,3.5
364,SUPREMEIND,OTM,5.25,0,5.25
365,SUZLON,OTH,3.5,0,3.5
366,SUZLON,OTM,5.25,0,5.25
367,SWIGGY,OTH,3.5,0,3.5
368,SWIGGY,OTM,5.25,0,5.25
369,TATACONSUM,OTH,3.5,0,3.5
370,TATACONSUM,OTM,5.25,0,5.25
371,TATAELXSI,OTH,3.5,0,3.5
372,TATAELXSI,OTM,5.25,0,5.25
373,TATAPOWER,OTH,3.5,0,3.5
374,TATAPOWER,OTM,5.25,0,5.25
375,TATASTEEL,OTH,3.5,0,3.5
376,TATASTEEL,OTM,5.25,0,5.25
377,TCS,OTH,3.5,0,3.5
378,TCS,OTM,5.25,0,5.25
379,TECHM,OTH,3.5,0,3.5
380,TECHM,OTM,5.25,0,5.25
381,TIINDIA,OTH,3.5,0,3.5
382,TIINDIA,OTM,5.25,0,5.25
383,TITAN,OTH,3.5,0,3.5
384,TITAN,OTM,5.25,0,5.25
385,TMPV,OTH,3.5,0,3.5
386,TMPV,OTM,5.25,0,5.25
387,TORNTPHARM,OTH,3.5,0,3.5
388,TORNTPHARM,OTM,5.25,0,5.25
389,TRENT,OTH,3.5,0,3.5
390,TRENT,OTM,5.25,0,5.25
391,TVSMOTOR,OTH,3.5,0,3.5
392,TVSMOTOR,OTM,5.25,0,5.25
393,ULTRACEMCO,OTH,3.5,0,3.5
394,ULTRACEMCO,OTM,5.25,0,5.25
395,UNIONBANK,OTH,3.5,0,3.5
396,UNIONBANK,OTM,5.25,0,5.25
397,UNITDSPR,OTH,3.5,0,3.5
398,UNITDSPR,OTM,5.25,0,5.25
399,UNOMINDA,OTH,3.5,0,3.5
400,UNOMINDA,OTM,5.25,0,5.25
401,UPL,OTH,3.5,0,3.5
402,UPL,OTM,5.25,0,5.25
403,VBL,OTH,3.5,0,3.5
404,VBL,OTM,5.25,0,5.25
405,VEDL,OTH,3.5,0,3.5
406,VEDL,OTM,5.25,0,5.25
407,VMM,OTH,3.5,0,3.5
408,VMM,OTM,5.25,0,5.25
409,VOLTAS,OTH,3.5,0,3.5
410,VOLTAS,OTM,5.25,0,5.25
411,WAAREEENER,OTH,3.5,0,3.5
412,WAAREEENER,OTM,5.25,0,5.25
413,WIPRO,OTH,3.5,1.75,5.25
414,WIPRO,OTM,5.25,2.63,7.88
415,YESBANK,OTH,3.5,0,3.5
416,YESBANK,OTM,5.25,0,5.25
417,ZYDUSLIFE,OTH,3.5,0,3.5
418,ZYDUSLIFE,OTM,5.25,0,5.25
